code_point	ideograph	indexes
U+2EBBD	𮮽	⿒ + -2, ⽌ + 9
U+2EBF0	𮯰	⼀ + 3, ⼆ + 2
U+2EBF1	𮯱	⼂ + 4, ⾈ + -1
U+2EBF2	𮯲	⼃ + 3, ⽜ + 0
U+2EBF3	𮯳	⼇ + 12, ⽕ + 10
U+2EC19	𮰙	⼟ + 1, ⼄ + 3
U+2ED87	𮶇	⽹ + 3, ⼶ + 4
U+2ED8D	𮶍	⽻ + 6, ⼎ + 10
U+2ED96	𮶖	⾃ + 4, ⼢ + 6
U+2F835	灰	⼚ + 4, ⽕ + 2
U+3032E	𰌮	⼦ + 10, ⼭ + 10
U+31350	𱍐	⼀ + 4, ⽰ + 0
U+31456	𱑖	⼘ + 7, ⼧ + 6
U+31726	𱜦	⼱ + 7, ⼘ + 8
U+31D40	𱵀	⽯ + 15, ⽜ + 16
U+31DBF	𱶿	⽳ + 7, ⽔ + 9
